@tasks 30
T0 11 1(72) 4(17) 5(79) 8(81) 10(96) 11(17) 12(14) 13(65) 17(70) 22(28)
T1 2 9(41) 26(82) 
T2 0 
T3 0 
T4 4 2(6) 3(88) 16(54) 25(29) 
T5 0 
T6 0 
T7 0 
T8 0 
T9 2 27(74) 29(25) 
T10 0 
T11 2 14(98) 18(97) 
T12 0 
T13 1 7(16) 
T14 0 
T15 1 23(6) 
T16 1 28(50) 
T17 1 6(20) 
T18 0 
T19 0 
T20 0 
T21 0 
T22 1 20(6) 
T23 0 
T24 0 
T25 1 19(91) 
T26 2 15(60) 24(89) 
T27 0 
T28 1 21(34) 
T29 0 
@proc 6
0 0 0
0 0 0
1 0 1
2 0 1
1 0 1
1 0 1
@times
47 37 416 281 237 360 
63 18 19 310 171 685 
77 52 208 361 135 320 
53 40 333 548 224 242 
56 4 245 60 446 40 
11 37 321 487 125 588 
76 41 75 27 316 633 
3 18 384 580 267 880 
73 45 20 542 388 611 
7 10 127 689 403 666 
22 22 76 157 140 653 
18 31 315 342 129 645 
66 12 346 666 118 633 
15 10 448 151 372 741 
3 27 175 90 210 242 
61 33 254 562 169 857 
11 52 208 827 98 382 
69 26 94 258 310 457 
82 21 313 187 254 257 
62 22 148 388 169 242 
71 14 214 657 225 444 
81 43 122 542 53 571 
22 12 134 459 322 240 
76 14 115 93 158 323 
63 43 166 413 333 419 
26 30 400 315 180 343 
83 41 437 451 232 647 
55 45 416 555 228 678 
73 16 437 285 80 517 
15 20 140 125 216 120 
@cost
22 28 2 5 3 4 
16 44 50 9 10 8 
19 16 13 12 12 12 
22 28 12 1 6 14 
19 200 13 23 6 26 
82 21 7 6 6 11 
19 24 10 33 4 3 
267 47 7 3 10 1 
10 17 46 5 3 7 
114 86 14 1 1 6 
38 36 10 8 7 6 
50 31 8 13 11 7 
17 68 6 7 11 10 
61 86 7 5 2 11 
272 36 4 17 3 3 
20 35 7 3 12 4 
79 26 5 2 16 6 
12 34 15 5 2 7 
9 38 10 13 4 3 
23 38 15 3 11 3 
16 66 5 5 9 5 
14 22 7 3 23 10 
43 75 10 9 9 10 
20 61 17 9 14 6 
22 29 8 5 10 4 
31 31 8 10 6 13 
20 30 4 3 11 8 
18 18 2 9 5 4 
16 50 3 5 10 1 
55 41 13 17 5 15 
@comm 1
CHAN0 90 10 1 1 1 1 
